group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
ed_inp,220.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,221.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,223.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,224.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,225.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,226.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,227.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,232.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,234.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,235.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,237.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,238.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,240.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,241.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,244.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,245.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,246.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,247.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
