group,paco2_bin,weight
icu,130.0,0.0003148236987287
icu,131.0,0.0001798992564164
icu,132.0,0.0002098824658191
icu,133.0,0.0001948908611177
icu,134.0,0.0001199328376109
icu,135.0,0.0002998320940273
icu,136.0,0.0001798992564164
icu,137.0,0.0001499160470136
icu,138.0,0.0001798992564164
icu,139.0,0.0001798992564164
icu,140.0,0.0001499160470136
icu,141.0,0.0001199328376109
icu,142.0,5.996641880546894e-05
icu,143.0,0.000164907651715
icu,144.0,0.0001499160470136
icu,145.0,0.0001199328376109
icu,146.0,0.000164907651715
icu,147.0,0.000164907651715
icu,148.0,8.994962820820341e-05
icu,149.0,0.0001049412329095
icu,150.0,7.495802350683618e-05
icu,151.0,0.0001349244423123
icu,152.0,0.0001499160470136
icu,153.0,0.0001948908611177
icu,154.0,0.000164907651715
icu,155.0,0.0001798992564164
icu,156.0,7.495802350683618e-05
icu,157.0,7.495802350683618e-05
icu,158.0,5.996641880546894e-05
icu,159.0,4.4974814104101705e-05
icu,160.0,0.0001798992564164
icu,161.0,0.0001499160470136
icu,162.0,0.0001049412329095
icu,163.0,0.0001049412329095
icu,164.0,5.996641880546894e-05
icu,165.0,8.994962820820341e-05
icu,166.0,0.0001948908611177
icu,167.0,0.0001049412329095
icu,168.0,8.994962820820341e-05
icu,169.0,5.996641880546894e-05
icu,170.0,0.0001049412329095
icu,171.0,7.495802350683618e-05
icu,172.0,7.495802350683618e-05
icu,173.0,0.0001199328376109
icu,174.0,5.996641880546894e-05
icu,175.0,8.994962820820341e-05
icu,176.0,5.996641880546894e-05
icu,177.0,5.996641880546894e-05
icu,178.0,0.000164907651715
icu,179.0,5.996641880546894e-05
icu,180.0,0.0001199328376109
icu,181.0,4.4974814104101705e-05
icu,182.0,4.4974814104101705e-05
icu,183.0,4.4974814104101705e-05
icu,184.0,4.4974814104101705e-05
icu,185.0,7.495802350683618e-05
icu,186.0,2.998320940273447e-05
icu,187.0,0.0001199328376109
icu,188.0,5.996641880546894e-05
icu,189.0,2.998320940273447e-05
icu,190.0,2.998320940273447e-05
icu,191.0,5.996641880546894e-05
icu,192.0,5.996641880546894e-05
icu,193.0,5.996641880546894e-05
icu,194.0,7.495802350683618e-05
icu,195.0,7.495802350683618e-05
icu,196.0,0.0001199328376109
icu,197.0,5.996641880546894e-05
icu,198.0,4.4974814104101705e-05
icu,199.0,7.495802350683618e-05
icu,200.0,4.4974814104101705e-05
icu,201.0,4.4974814104101705e-05
icu,202.0,2.998320940273447e-05
icu,203.0,8.994962820820341e-05
icu,204.0,5.996641880546894e-05
icu,206.0,7.495802350683618e-05
icu,207.0,4.4974814104101705e-05
icu,208.0,4.4974814104101705e-05
icu,209.0,4.4974814104101705e-05
icu,210.0,1.4991604701367234e-05
icu,211.0,2.998320940273447e-05
icu,212.0,2.998320940273447e-05
icu,213.0,4.4974814104101705e-05
icu,214.0,1.4991604701367234e-05
icu,215.0,4.4974814104101705e-05
icu,216.0,2.998320940273447e-05
icu,217.0,4.4974814104101705e-05
icu,218.0,4.4974814104101705e-05
icu,219.0,4.4974814104101705e-05
icu,220.0,8.994962820820341e-05
icu,221.0,2.998320940273447e-05
icu,222.0,2.998320940273447e-05
icu,224.0,4.4974814104101705e-05
icu,225.0,5.996641880546894e-05
icu,226.0,1.4991604701367234e-05
icu,227.0,4.4974814104101705e-05
icu,228.0,1.4991604701367234e-05
icu,229.0,5.996641880546894e-05
icu,230.0,5.996641880546894e-05
icu,231.0,2.998320940273447e-05
icu,232.0,7.495802350683618e-05
icu,233.0,4.4974814104101705e-05
icu,234.0,4.4974814104101705e-05
icu,235.0,1.4991604701367234e-05
icu,236.0,5.996641880546894e-05
icu,237.0,2.998320940273447e-05
icu,239.0,4.4974814104101705e-05
icu,240.0,2.998320940273447e-05
icu,241.0,5.996641880546894e-05
icu,244.0,2.998320940273447e-05
icu,245.0,5.996641880546894e-05
icu,246.0,1.4991604701367234e-05
icu,247.0,1.4991604701367234e-05
icu,248.0,1.4991604701367234e-05
icu,249.0,1.4991604701367234e-05
pft,11.0,9.56388676358072e-05
pft,15.0,0.0001912777352716
pft,16.0,9.56388676358072e-05
pft,17.0,0.0003825554705432
pft,18.0,0.0002869166029074
pft,19.0,0.0003825554705432
pft,20.0,0.0022953328232593
pft,21.0,0.0018171384850803
pft,22.0,0.0025822494261667
pft,23.0,0.0026778882938026
pft,24.0,0.0042081101759755
pft,25.0,0.0070772762050497
pft,26.0,0.0067903596021423
pft,27.0,0.0078423871461361
pft,28.0,0.0121461361897475
pft,29.0,0.014345830145371
pft,30.0,0.0198928844682478
pft,31.0,0.0217100229533282
pft,32.0,0.0300306044376434
pft,33.0,0.0307957153787299
pft,34.0,0.0403596021423106
pft,35.0,0.0414116296863045
