group,paco2_bin,count,weight
icu,132.0,14,0.00020988246581914128
icu,133.0,13,0.00019489086111777404
icu,134.0,8,0.00011993283761093787
icu,135.0,20,0.0002998320940273447
icu,136.0,12,0.00017989925641640682
icu,137.0,10,0.00014991604701367235
icu,138.0,12,0.00017989925641640682
icu,139.0,12,0.00017989925641640682
icu,140.0,10,0.00014991604701367235
icu,141.0,8,0.00011993283761093787
icu,142.0,4,5.996641880546894e-05
icu,143.0,11,0.00016490765171503957
icu,144.0,10,0.00014991604701367235
icu,145.0,8,0.00011993283761093787
icu,146.0,11,0.00016490765171503957
icu,147.0,11,0.00016490765171503957
icu,148.0,6,8.994962820820341e-05
icu,149.0,7,0.00010494123290957064
icu,150.0,5,7.495802350683618e-05
icu,151.0,9,0.0001349244423123051
icu,152.0,10,0.00014991604701367235
icu,153.0,13,0.00019489086111777404
icu,154.0,11,0.00016490765171503957
icu,155.0,12,0.00017989925641640682
icu,156.0,5,7.495802350683618e-05
icu,157.0,5,7.495802350683618e-05
icu,158.0,4,5.996641880546894e-05
icu,159.0,3,4.4974814104101705e-05
icu,160.0,12,0.00017989925641640682
icu,161.0,10,0.00014991604701367235
icu,162.0,7,0.00010494123290957064
icu,163.0,7,0.00010494123290957064
icu,164.0,4,5.996641880546894e-05
icu,165.0,6,8.994962820820341e-05
icu,166.0,13,0.00019489086111777404
icu,167.0,7,0.00010494123290957064
icu,168.0,6,8.994962820820341e-05
icu,169.0,4,5.996641880546894e-05
icu,170.0,7,0.00010494123290957064
icu,171.0,5,7.495802350683618e-05
icu,172.0,5,7.495802350683618e-05
icu,173.0,8,0.00011993283761093787
icu,174.0,4,5.996641880546894e-05
icu,175.0,6,8.994962820820341e-05
icu,176.0,4,5.996641880546894e-05
icu,177.0,4,5.996641880546894e-05
icu,178.0,11,0.00016490765171503957
icu,179.0,4,5.996641880546894e-05
icu,180.0,8,0.00011993283761093787
icu,181.0,3,4.4974814104101705e-05
icu,182.0,3,4.4974814104101705e-05
icu,183.0,3,4.4974814104101705e-05
icu,184.0,3,4.4974814104101705e-05
icu,185.0,5,7.495802350683618e-05
icu,186.0,2,2.998320940273447e-05
icu,187.0,8,0.00011993283761093787
icu,188.0,4,5.996641880546894e-05
icu,189.0,2,2.998320940273447e-05
icu,190.0,2,2.998320940273447e-05
icu,191.0,4,5.996641880546894e-05
icu,192.0,4,5.996641880546894e-05
icu,193.0,4,5.996641880546894e-05
icu,194.0,5,7.495802350683618e-05
icu,195.0,5,7.495802350683618e-05
icu,196.0,8,0.00011993283761093787
icu,197.0,4,5.996641880546894e-05
icu,198.0,3,4.4974814104101705e-05
icu,199.0,5,7.495802350683618e-05
icu,200.0,3,4.4974814104101705e-05
icu,201.0,3,4.4974814104101705e-05
icu,202.0,2,2.998320940273447e-05
icu,203.0,6,8.994962820820341e-05
icu,204.0,4,5.996641880546894e-05
icu,206.0,5,7.495802350683618e-05
icu,207.0,3,4.4974814104101705e-05
icu,208.0,3,4.4974814104101705e-05
icu,209.0,3,4.4974814104101705e-05
icu,210.0,1,1.4991604701367234e-05
icu,211.0,2,2.998320940273447e-05
icu,212.0,2,2.998320940273447e-05
icu,213.0,3,4.4974814104101705e-05
icu,214.0,1,1.4991604701367234e-05
icu,215.0,3,4.4974814104101705e-05
icu,216.0,2,2.998320940273447e-05
icu,217.0,3,4.4974814104101705e-05
icu,218.0,3,4.4974814104101705e-05
icu,219.0,3,4.4974814104101705e-05
icu,220.0,6,8.994962820820341e-05
icu,221.0,2,2.998320940273447e-05
icu,222.0,2,2.998320940273447e-05
